name,gender,organization,date,location,type_of_death
Maharram Ibrahimov,Male,AzerTag,"June 4, 2021",Azerbaijan,Crossfire
Maheshwar Pahari,Male,Rastriya Swabhiman,"October 4, 2005",Nepal,Dangerous Assignment
Mahmoud al-Kumi,Male,Al-Aqsa,"November 20, 2012",Israel and the Occupied Palestinian Territory,Crossfire
Mahmoud Hamid Abbas,Male,Zweites Deutsches Fernsehen,"August 15, 2004",Iraq,Crossfire
Mahmoud Natouf,Male,"Sana al-Thawra, Moadamyat Al-Sham Media Center","March 14, 2013",Syria,Crossfire
Mahmoud Saremi,Male,Iranian News Agency (IRNA),"August 8, 1998",Afghanistan,Murder
Mahmoud Za'al,Male,Baghdad TV,"January 25, 2006",Iraq,Crossfire
Mahran al-Deeri,Male,Al-Jazeera,"December 10, 2014",Syria,Crossfire
Majeed Mohammed,Male,Kirkuk al-Yawm and Hawal,"July 16, 2007",Iraq,Murder
Majid Dirani,Male,Freelance,"February 19, 2016",Syria,Crossfire
Maks Levin,Male,LB.ua,"March 13-April 1, 2022",Ukraine,Crossfire
Maksim Borodin,Male,Novy Den,"April 15, 2018",Russia,
Maksim Maksimov,Male,Gorod,"November 30, 2006",Russia,Murder
Malik Arif,Male,Samaa TV,"April 16, 2010",Pakistan,Crossfire
Manik Saha,Male,New Age,"January 15, 2004",Bangladesh,Murder
Manish Kumar Singh,Male,Sudarshan TV,"August 8 - 10, 2021",India,Murder
Manoel Leal de Oliveira,Male,A Regiao,"January 14, 1998",Brazil,Murder
Mantas Kvedaravičius,Male,Freelance,"March 28-April 2, 2022",Ukraine,Crossfire
Manuel de Dios Unanue,Male,El Diario/La Prensa,"March 11, 1992",USA,Murder
Manuel González Reyes,Male,Freelance,"September 28, 2021",Mexico,
Manuel Martínez Espinoza,Male,Radio Super,"September 28, 1993",Colombia,Murder
Marc Brunereau,Male,freelance,"September 5, 2001",Afghanistan,Crossfire
Marcellin Kayiranga,Male,Kanguka,"April 22, 1994",Rwanda,Murder
Marcello Palmisano,Male,RAI,"February 9, 1995",Somalia,Murder
Marco Luchetta,Male,RAI-TV,"January 28, 1994",Bosnia,Crossfire
Marcos Borges Ribeiro,Male,Independente,"May 1, 1995",Brazil,Murder
Marcos de Barros Leopoldo Guerra,Male,Ubatuba Cobra,"December 23, 2014",Brazil,Murder
Marcos Efraín Montalvo,Male,Freelance,"September 19, 2021",Colombia,Murder
Marcos Hernández Bautista,Male,"Noticias, Voz e Imagen de Oaxaca","September 21, 2018",Mexico,Murder
Mario Leonel Gómez Sánchez,Male,El Heraldo de Chiapas,"September 21, 2018",Mexico,Murder
Mario Ortega,Male,San José Total,"November 14, 2020",Guatemala,
Mario Randolfo Marques Lopes,Male,Vassouras na Net,"February 9, 2012",Brazil,Murder
Mario Sy,Male,Freelance,"August 1, 2013",Philippines,Murder
Mark Gilbert Arriola,Male,UNTV,"November 23, 2009",Philippines,Murder
Martin Adler,Male,freelance,"June 23, 2006",Somalia,Murder
Martín La Rotta,Male,La Palma Estéreo,"February 7, 2004",Colombia,Murder
Martin O'Hagan,Male,Sunday World,"September 28, 2001",UK,Murder
Martin Roxas,Male,DYVR,"August 7, 2008",Philippines,Murder
Martinez Zogo,Male,Amplitude FM,"January 17 - 22, 2023",Cameroon,Murder
Mauricio Lezama Rengifo,Male,Freelance,"May 9, 2019",Colombia,
Maximilien Lazard,Male,Roi des Infos,"February 23, 2022",Haiti,Dangerous Assignment
Maximino Rodríguez,Male,Freelance,"April 14, 2017",Mexico,Murder
Maxwell Nashan,Male,Federal Radio Corporation of Nigeria,"January 15, 2020",Nigeria,
Maya Naser,Male,Press TV,"September 26, 2012",Syria,Crossfire
Mazen al-Tumeizi,Male,Al-Arabiya,"September 12, 2004",Iraq,Crossfire
Mazen Dana,Male,Reuters,"August 17, 2003",Iraq,Crossfire
Mazhar Tayyara,Male,Freelance,"February 4, 2012",Syria,Crossfire
Mehboob Khan,Male,freelance,"April 28, 2007",Pakistan,Dangerous Assignment
Mehmood Khan,Male,DawnNews,"August 8, 2016",Pakistan,Dangerous Assignment
Mekhlouf Boukzer,Male,Algerian State Television,"April 4, 1995",Algeria,Murder
Metin Göktepe,Male,Evrensel,"January 8, 1996",Turkey,Murder
Michael Kelly,Male,Atlantic Monthly and The Washington Post,"April 3, 2003",Iraq,Crossfire
Michael Senior,Male,Freelancer,"July 7, 1997",Cambodia,Murder
Michael Tshele,Male,Freelance,"January 13, 2014",South Africa,Murder
Mick Deane,Male,Sky News,"August 14, 2013",Egypt,Dangerous Assignment
Miguel Gil Moreno de Mora,Male,The Associated Press,"May 24, 2000",Sierra Leone,Crossfire
Miguel Pérez Julca,Male,Radio Éxitos,"March 17, 2007",Peru,Murder
Mikhail Beketov,Male,Khimkinskaya Pravda,"April 8, 2013",Russia,Murder
Milan Pantic,Male,Vecernje Novosti,"June 11, 2001",Yugoslavia,Murder
Mir Illias Hossain,Male,Dainik Bir Darpan,"January 15, 2000",Bangladesh,Murder
Mir Wahed Shah,Male,Khurshid TV,"May 30, 2020",Afghanistan,Murder
Miran Krovatin,Male,RAI-3 Television,"March 20, 1994",Somalia,Murder
Mirwais Jalil,Male,BBC World Service,"July 29, 1994",Afghanistan,Murder
Mirza Iqbal Hussain,Male,News Network International,"January 10, 2013",Pakistan,Dangerous Assignment
Mirza Waseem Baig,Male,92 News,"August 30, 2019",Pakistan,Murder
Misri Khan,Male,Ausaf and Mashriq,"September 14, 2010",Pakistan,Murder
Mohamed Abazied (George Samara),Male,Nabd Syria Satellite Station/ Syria Media Organization (SMO),"March 12, 2017",Syria,Crossfire
Mohamed Abderrahmani,Male,El-Moudjahid,"March 27, 1995",Algeria,Murder
Mohamed Abu Halima,Male,An-Najah National University Radio,"March 22, 2004",Israel and the Occupied Palestinian Territory,Crossfire
Mohamed Ahmed Taysir Bellou,Male,Shahba Press,"November 19, 2013",Syria,Crossfire
Mohamed al-Hamdani,Male,Al-Itijah,"February 24, 2011",Iraq,Dangerous Assignment
Mohamed al-Khal,Male,Freelance,"November 25, 2012",Syria,Crossfire
Mohamed al-Mesalma,Male,Al-Jazeera,"January 18, 2013",Syria,Crossfire
Mohamed Amin,Male,Radio Shabelle,"December 3, 2009",Somalia,Crossfire
Mohamed Ben Khalifa,Male,Freelance,"January 19, 2019",Libya,Crossfire
Mohamed Dorbane,Male,Le Soir d'Algérie,"February 11, 1996",Algeria,Murder
Mohamed Fayez Abu Matar,Male,,"October 11, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohamed Guessab,Male,Algerian Radio,"August 12, 1996",Algeria,Murder
Mohamed Ibrahim Gabow,Male,Kalsan TV,"December 11, 2017",Somalia,
Mohamed Ibrahim Raage,Male,"Radio Mogadishu, Somali National Television","April 21, 2013",Somalia,Murder
Mohamed Isaq,Male,Kalsan TV,"December 5, 2014",Somalia,Murder
Mohamed Isse Hassan,Male,M24 Somali TV,"October 29, 2022",Somalia,Dangerous Assignment
Mohamed Lamine Legoui,Male,Algerian Press Service,"July 21, 1994",Algeria,Murder
Mohamed Meceffeuk,Male,Détective,"April 13, 1994",Algeria,Murder
Mohamed Mekati,Male,El-Moudjahid,"January 10, 1996",Algeria,Murder
Mohamed Mohamud,Male,Universal TV,"October 26, 2013",Somalia,Murder
Mohamed Mohamud Turyare,Male,Shabelle Media Network,"October 28, 2012",Somalia,Murder
Mohamed Mouin Ayyash,Male,,"November 23, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohamed Nabil Al-Zaq,Male,Al Quds,"November 22, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohamed Quratem,Male,Enab Baladi,"November 28, 2012",Syria,Crossfire
Mohamed Saeed al-Hamwi,Male,Qaboun Media Center,"February 17, 2013",Syria,Crossfire
Mohamed Sahal Omar,Male,SBC TV,"July 12 or 13, 2019",Somalia,Dangerous Assignment
Mohamed Salah Benachour,Male,Algerian Press Service,"October 20, 1994",Algeria,Murder
Mohamed Shamsan,Male,Yemen Today,"April 20, 2015",Yemen,Crossfire
Mohamed Taani,Male,SMART News Agency,"June 27, 2014",Syria,Crossfire
Mohamed Yamen Naddaf,Male,Shahba Press,"November 24, 2013",Syria,Crossfire
Mohammad Abbas Mohammad,Male,Al-Bayinnah al-Jadida,"August 7, 2006",Iraq,Murder
Mohammad al-Qadasi,Male,Belqees TV,"January 22, 2018",Yemen,Crossfire
Mohammad Balousha,Male,Palestine Today,"October 17, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohammad Hilal Karji,Male,Baghdad TV,"June 6, 2007",Iraq,Murder
Mohammad Imran,Male,Express TV,"January 4, 2009",Pakistan,Dangerous Assignment
Mohammad Jarghoun,Male,Smart Media,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohammad Milad,Male,SANA (Syrian Arab News Agency),"October 10, 2017",Syria,
Mohammad Nasir Mudasir,Male,Melli Paigham Radio,"December 15, 2016",Afghanistan,Murder
Mohammad Quamruzzaman,Male,Neel Sagar,"February 19, 1996",Bangladesh,Dangerous Assignment
Mohammad Saeed,Male,Al-Arabiya,"October 29, 2013",Syria,Murder
Mohammad Salim Angaar,Male,Radio Television Afghanistan,"October 18, 2018",Afghanistan,Dangerous Assignment
Mohammad Samdani Warsi,Male,Parcham,"December 6, 1994",Pakistan,Murder
Mohammad Shamma,Male,Al-Ikhbariya,"June 27, 2012",Syria,Crossfire
Mohammed Abdullahi Khalif,Male,Voice of Peace,"May 5, 2007",Somalia,Crossfire
Mohammed al-Asfar,Male,Al-Jazeera,"June 26, 2015",Syria,Crossfire
Mohammed al-Ashram,Male,Al-Ikhbariya,"October 10, 2012",Syria,Crossfire
Mohammed al-Nabbous,Male,Libya Al-Hurra TV,"March 19, 2011",Libya,Crossfire
Mohammed al-Qasim,Male,Rozana Radio,"September 10, 2014",Syria,Crossfire
Mohammed Al-Salhi,Male,Fourth Authority news agency,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohammed Ali,Male,Al-Shabab Radio (Youth Radio),"October 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohammed Eissa,Male,Nateq Network,October 2015 - June 2016,Syria,Murder
Mohammed Ghalib al-Majidi,Male,Freelance,"March 21, 2016",Yemen,Crossfire
Mohammed Ghanem,Male,Al-Sharqiyah,"October 5, 2013",Iraq,Murder
Mohammed Haroon,Male,Al-Kadiya,"October 19, 2005",Iraq,Murder
Mohammed Hussein Navab,Male,Keyhan,"August 30, 1994",Bosnia,Murder
Mohammed Hussein Rasho,Male,Cira TV,"October 14, 2019",Syria,Crossfire
Mohammed Ibrahim,Male,Express TV and Daily Express,"May 22, 2008",Pakistan,Murder
Mohammed Kamara,Male,SKY-FM,"January 9, 1999",Sierra Leone,Murder
Mohammed Karim al-Badrani,Male,Al-Sharqiyah,"October 5, 2013",Iraq,Murder
Mohammed Muslimuddin,Male,Asomiya Pratidin,"April 1, 2008",India,Murder
Mohammed Salahuddin,Male,Takbeer,"December 4, 1994",Pakistan,Murder
Mohammed Sayyed Hassan,Male,"All4Syria, Al-Nabaa Media Center","August 1, 2016",Syria,Crossfire
Mohammed Sobh,Male,“Khabar” News Agency,"October 9, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mohammed Taha Mohammed Ahmed,Male,Al-Wifaq,"September 6, 2006",Sudan,Murder
Mohamud Mohamed Yusuf,Male,Radio IQK,"July 4, 2009",Somalia,Crossfire
Mohan Hussein al-Dhahir,Male,Al-Mashreq,"March 4, 2007",Iraq,Murder
Mohieldin Al Naqeeb,Male,Al-Iraqiya,"June 17, 2008",Iraq,Murder
Mohiuddin Sarker Nayeem,Male,Dainik Cumillar Dak,"April 13, 2022",Bangladesh,
Mohsen Khazaei,Male,Islamic Republic of Iran Broadcasting,"November 12, 2016",Syria,Crossfire
Mohyedin Alempour,Male,BBC,"December 12, 1995",Tajikistan,Murder
Molhem Barakat,Male,Freelance,"December 20, 2013",Syria,Crossfire
Montaser Al-Sawaf,Male,Anadolu Agency,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Moolchand Yadav,Male,Freelance,"July 30, 2001",India,Murder
Mosaab al-Obdaallah,Male,Tishreen,"August 22, 2012",Syria,Murder
Mosaab al-Shami,Male,Rassd News Network,"August 14, 2013",Egypt,Dangerous Assignment
Mossab Ashour,Male,,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mostafa Bakeer,Male,Al Aqsa TV,"November 24, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mostafa El Sawaf,Male,MSDR News,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Mouaz Alomar (Abu Mehdi Al Hamwi),Male,Freelance,"April 25, 2014",Syria,Crossfire
Mouloud Barroudi,Male,National Agency of Filmed News,"September 25, 1994",Algeria,Murder
Mounir Bouamrane,Male,TVP,"May 7, 2004",Iraq,Crossfire
Mourad Hmaizi,Male,Algerian State Television,"May 27, 1995",Algeria,Murder
Moustapha Ourrad,Male,Charlie Hebdo,"January 7, 2015",France,Murder
Muammar Khadir Abdelwahad,Male,Al-Ayn,"March 29, 2011",Iraq,Dangerous Assignment
Mubarak al-Abadi,Male,Nabaa Media Foundation,"August 5, 2016",Yemen,Crossfire
Muftah al-Qatrani,Male,Al-Anwar,"April 22, 2015",Libya,Murder
Muftah Bu Zeid,Male,Brnieq,"May 26, 2014",Libya,Murder
Muhammad al-Ban,Male,Al-Sharqiya,"November 13, 2006",Iraq,Murder
Muhammad al-Bishawi,Male,"Najah Press Office, IslamOnline","July 31, 2001",Israel and the Occupied Palestinian Territory,Crossfire
Muhammad al-Rabou'e,Male,Al-Qahira,"February 13, 2010",Yemen,Murder
Muhammad Arif,Male,ARY Television,"October 19, 2007",Pakistan,Dangerous Assignment
Muhammad Bilal Khan,Male,Freelance,"June 16, 2019",Pakistan,
Muhammad Hassan Al-Musalama,Male,Revolutionaries of Daraa Al-Muhata – Tariq Al-Sadd,"August 20, 2013",Syria,Crossfire
Muhammad Sayuti Bochari,Male,Pos Makasar,"June 11, 1997",Indonesia,Murder
Muhammad Yusuf,Male,Kemajuan Rakyat,"June 10, 2018",Indonesia,
Muhammad Zada Agra,Male,"Sada-e-Malakand,Citizen Journalist PK","November 8, 2021",Pakistan,Murder
Muhammed Tariq Jadua,Male,Jisr Al-Shaghur Multimedia Network,"July 27, 2013",Syria,Crossfire
Muhannad Ghanem Ahmad al-Obaidi,Male,Dar al-Salam,"September 20, 2007",Iraq,Murder
Muhsin Khudhair,Male,Alef Ba,"March 13, 2006",Iraq,Murder
Mukarram Khan Aatif,Male,Freelance,"January 17, 2012",Pakistan,Murder
Mukhtar Mohamed Hirabe,Male,Radio Shabelle,"June 8, 2009",Somalia,Murder
Mukhtor Bugdiev,Male,Khovar Information Agency,"December, 1992",Tajikistan,Murder
Munir Ahmed Sangi,Male,Kawish Television Network,"May 29, 2006",Pakistan,Crossfire
Munir Turay,Male,freelance,"January, 1999",Sierra Leone,Murder
Munsuf Abdallah al-Khaldi,Male,Baghdad TV,"March 7, 2006",Iraq,Murder
Murodullo Sheraliev,Male,Sadoi Mardum,"May 5, 1992",Tajikistan,Dangerous Assignment
Musa Abdul Kareem,Male,Fasanea,"July 31, 2018",Libya,Murder
Musa Anter,Male,Özgür Gündem,"September 20, 1992",Turkey,Murder
Musa Khankhel,Male,Geo TV and The News,"February 18, 2009",Pakistan,Murder
Musa Mohamed,Male,Raja FM,"January 25, 2015",South Sudan,Murder
Musab Mahmood al-Ezawi,Male,Al-Sharqiya,"September 13, 2008",Iraq,Murder
Mushtaq Ali,Male,Agence France-Presse and Asian News International,"September 10, 1995",India,Murder
Mushtaq Khand,Male,Dharti Television Network and Mehran,"October 7, 2012",Pakistan,Dangerous Assignment
Mustaf Abdi Noor,Male,Freelance,"November 1, 2015",Somalia,Dangerous Assignment
Mustafa Abada,Male,Algerian State Television,"October 14, 1993",Algeria,Murder
Mustafa Abdul Hassa,Male,Shaam News Network,October 2015 - June 2016,Syria,Murder
Mustafa Gaimayani,Male,Kirkuk al-Yawm and Hawal,"July 16, 2007",Iraq,Murder
Mustafa Jeha,Male,Al-Amal,"January 15, 1992",Lebanon,Murder
Mustafa Said,Male,Kurdistan TV,"August 14, 2016",Iraq,Crossfire
Mustafa Salamah,Male,Sama TV,"July 16, 2018",Syria,Crossfire
Muthanna Abdel Hussein,Male,Al-Iraqiya,"March 10, 2014",Iraq,Dangerous Assignment
MVN Shankar,Male,Andhra Prabha,"November 26, 2014",India,Murder
Myles Tierney,Male,Associated Press Television News,"January 10, 1999",Sierra Leone,Crossfire
Mylvaganam Nimalarajan,Male,"BBC, Virakesari, Ravaya","October 19, 2000",Sri Lanka,Murder
Nabil Hasan al-Quaety,Male,Freelance,"June 2, 2020",Yemen,Murder
Nabil Ibrahim al-Dulaimi,Male,Radio Dijla,"December 4, 2006",Iraq,Murder
Nacer Ouari,Male,Algerian State Television,"February 1, 1995",Algeria,Murder
Nadir Shah Sahibzada,Male,Sada-e-Gardiz Radio,"July 12, 2019",Afghanistan,
Nahar Ali,Male,Anirban,"April 21, 2001",Bangladesh,Murder
Nahúm Palacios Arteaga,Male,TV Channel 5,"March 14, 2010",Honduras,Murder
Naimatullah Zaheer,Male,Ariana News,"November 4, 2016",Afghanistan,Crossfire
Naimullah,Male,Sinar Pagi,"July 25, 1997",Indonesia,Murder
Najem Abed Khudair,Male,Al-Mada,"May 15, 2005",Iraq,Murder
Naji Asaad,Male,Tishreen,"December 4, 2012",Syria,Crossfire
Naji Jerf,Male,"Hentah, Raqqa is Being Slaughtered Silently","December 27, 2015",Turkey,Murder
Namik Taranci,Male,Gercek,"November 20, 1992",Turkey,Murder
Namir Noor-Eldeen,Male,Reuters,"July 12, 2007",Iraq,Crossfire
Napoleon Salaysay,Male,Mindanao Gazette,"November 23, 2009",Philippines,Murder
Narcisse Orédjé,Male,Radio Cefod,"October 20, 2022",Chad,Dangerous Assignment
Narendra Dabholkar,Male,Sadhana,"August 20, 2013",India,Murder
Nasrullah Khan Afridi,Male,Pakistan Television and Mashriq,"May 10, 2011",Pakistan,Murder
Nasseredine Lekhal,Male,El-Massa,"November 30, 1994",Algeria,Murder
Nasteh Dahir Farah,Male,freelance,"June 7, 2008",Somalia,Murder
Nathan S. Dabak,Male,The Light Bearer,"April 24, 2010",Nigeria,Murder
Nava Raj Sharma,Male,Kadam,"June 1, 2002",Nepal,Murder
Naveen Gupta,Male,Hindustan,"November 30, 2017",India,
Navin Nischal,Male,Dainik Bhaskar,"March 25, 2018",India,Murder
Nazar Abdulwahid al-Radhi,Male,Aswat al-Iraq and Radio Free Iraq,"May 30, 2007",Iraq,Murder
Nazih Darwazeh,Male,APTN,"April 19, 2003",Israel and the Occupied Palestinian Territory,Crossfire
Nazim Babaoglu,Male,Ozgur Gundem,"March 12, 1994",Turkey,Unknown
Néhémie Joseph,Male,"Radio Panic FM,Radio Méga","October 10, 2019",Haiti,Murder
Nelson Carvajal Carvajal,Male,Radio Sur,"April 16, 1998",Colombia,Murder
Nelson Matus Peña,Male,Lo Real de Guerrero,"July 15, 2023",Mexico,
Nevith Condés Jaramillo,Male,El Observatorio del Sur,"August 24, 2019",Mexico,Murder
Nicanor Linhares Batista,Male,Rádio Vale do Jaguaribe,"June 30, 2003",Brazil,Murder
Nikolai Andrushchenko,Male,Novy Peterburg,"April 19, 2017",Russia,Murder
Niloy Neel,Male,Freelance,"August 7, 2015",Bangladesh,Murder
Nils Horner,Male,Sveriges Radio,"March 11, 2014",Afghanistan,Dangerous Assignment
Niraz Saeed,Male,Freelance,September 2016,Syria,Unknown
Nizar Thanoun,Male,Al-Rasheed TV,"February 11, 2020",Iraq,
Noel Decina,Male,Periodico Ini,"November 23, 2009",Philippines,Murder
Noel López Olguín,Male,Freelance,March 2011,Mexico,Murder
Noel Villarante,Male,DZJV Radio and Laguna Score,"August 19, 2003",Philippines,Murder
Noor Hakim Khan,Male,Daily Pakistan,"June 2, 2007",Pakistan,Dangerous Assignment
Noramfaizul Mohd,Male,Bernama TV,"September 2, 2011",Somalia,Dangerous Assignment
Norbert Zongo,Male,L'indepéndent,"December 13, 1998",Burkina Faso,Murder
Norberto Miranda Madrid,Male,Radio Visión,"September 23, 2009",Mexico,Murder
Norvey Díaz,Male,Radio Colina,"October 18, 1996",Colombia,Murder
Noufel al-Shimari,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder
Nour al-Din Al-Hafiri,Male,Freelance,"September 29, 2013",Syria,Crossfire
Noureddine Hashim,Male,Al Etihad Press,"March 8, 2015",Syria,Crossfire
Novruzali Mamedov,Male,Talyshi Sado,"August 17, 2009",Azerbaijan,Dangerous Assignment
Nowroz Ali Rajabi,Male,1TV,"April 30, 2018",Afghanistan,Murder
Nun Chan,Male,Samleng Yuvachun Khmer,"September 6, 1994",Cambodia,Murder
Nur Muse Hussein,Male,Radio IQK,"May 26, 2009",Somalia,Crossfire
Obada Ghazal,Male,SMART News Agency,"September 26, 2015",Syria,Crossfire
Obed Bazimaziki,Male,Le Flambeau,"April 11, 1994",Rwanda,Murder
Obed Nangbatna,Male,Télé Tchad,"May 25, 2019",Chad,Crossfire
Obeida abu Omar,Male,Damaski Media Agency,"March 21, 2018",Syria,Crossfire
Octavio Rojas Hernández,Male,El Buen Tono,"August 11, 2014",Mexico,Murder
Okezie Amaruben,Male,Newsservice,"September 2, 1998",Nigeria,Murder
Olim Zarobekov,Male,Tajikistan Radio,"May 7, 1992",Tajikistan,Dangerous Assignment
Olimjon Yorasonov,Male,Unknown,June or July 1993,Tajikistan,Murder
Olimpio Jalapit Jr.,Male,DXPR Radio,"November 17, 2000",Philippines,Murder
Olivier Quemener,Male,Freelancer,"February 1, 1994",Algeria,Murder
Olivier Voisin,Male,Freelance,"February 24, 2013",Syria,Crossfire
Omar Abdul Qader,Male,Al-Mayadeen,"March 8, 2014",Syria,Crossfire
Omar Ezzi Mohammad,Male,Al-Maraweah Radio Broadcasting Center,"September 16, 2018",Yemen,Crossfire
Omar Iván Camacho Mascareño,Male,"Noticieros Altavoz,Évora Sport","March 24, 2019",Mexico,
Omar Ouartilan,Male,El-Khabar,"October 3, 1995",Algeria,Murder
Omar Rasim al-Qaysi,Male,Al-Anbar TV,"December 12, 2010",Iraq,Crossfire
Omidreza Mirsayafi,Male,Rooznegar,"March 18, 2009",Iran,Dangerous Assignment
Onifade Emmanuel Pelumi,Male,Gboah TV,"October 24-30, 2020",Nigeria,Dangerous Assignment
Orel Sambrano,Male,ABC de la Semana and Radio América,"January 16, 2009",Venezuela,Murder
Orhan Hijran,Male,Al-Rasheed,"October 21, 2009",Iraq,Crossfire
Orkhan Dzhemal,Male,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,Murder
Orlando “Dondon” Dinoy,Male,"Newsline Philippines,Energy FM","October 30, 2021",Philippines,Murder
Orlando Sierra Hernández,Male,La Patria,"February 1, 2002",Colombia,Murder
Orlando Villanueva,Male,Noticias del Puerto,"March 8, 2022",Guatemala,
Osama al-Habaly,Male,Abounaddara Collective,Date Unknown,Syria,Unknown
Osama Jumaa,Male,Images Live,"June 5, 2016",Syria,Crossfire
Osama Nasr al-Zoabi,Male,Syrian Media Organization (SMO),"August 21, 2017",Syria,Crossfire
Oscar García Calderón,Male,El Espectador,"February 22, 1998",Colombia,Murder
Othman al-Mashhadani,Male,Al-Watan,"April 6, 2007",Iraq,Murder
P. Srinivas Rao,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment
Pablo Emilio Medina Motta,Male,TV Garzón,"December 4, 1999",Colombia,Crossfire
Pablo Medina Velázquez,Male,ABC Color,"October 16, 2014",Paraguay,Murder
Pablo Morrugares Parraguirre,Male,PM Noticias,"August 2, 2020",Mexico,Murder
Papy Mumbere Mahamba,Male,Radio Communautaire de Lwemba,"November 2, 2019",Democratic Republic of the Congo,
Parag Kumar Das,Male,Asomiya Pratidin,"May 17, 1996",India,Murder
Paranirupasingham Devakumar,Male,News 1st,"May 28, 2008",Sri Lanka,Murder
Parmenio Medina Pérez,Male,"""La Patada""","July 7, 2001",Costa Rica,Murder
Parvaz Mohammed Sultan,Male,News and Feature Alliance,"January 31, 2003",India,Murder
Paul Douglas,Male,CBS,"May 29, 2006",Iraq,Crossfire
Paul Jenks,Male,European Pressphoto Agency,"January 17, 1992",Croatia,Crossfire
Paul Kiggundu,Male,TOP Radio and TV,"September 11, 2010",Uganda,Murder
Paul Klebnikov,Male,Forbes Russia,"July 9, 2004",Russia,Murder
Paul Mansaray,Male,Standard Times,"January 9, 1999",Sierra Leone,Murder
Paul Moran,Male,freelance,"March 22, 2003",Iraq,Crossfire
Paúl Rivas Bravo,Male,El Comercio,"April 10-12, 2018",Colombia,Murder
Paulos Kidane,Male,Eri-TV and Dimtsi Hafash,"June, 2007",Eritrea,Unknown
Pavel Makeev,Male,Puls,"May 21, 2005",Russia,Murder
Pavel Sheremet,Male,"Ukrainska Pravda, Radio Vesti","July 20, 2016",Ukraine,Murder
Pedro Alfonso Flores Silva,Male,Channel 6,"September 8, 2011",Peru,Murder
Pedro Canelas,Male,Radio Bambi,"December 19, 2020",Honduras,
Pedro Palma,Male,Panorama Regional,"February 13, 2014",Brazil,Murder
Pedro Yauri,Male,Radio Universal,"June 24, 1992",Peru,Murder
Per-Ove Carlsson,Male,Freelancer,"April 29, 1992",Papua New Guinea,Murder
Percival Mabasa,Male,DWBL 1242 Radio,"October 3, 2022",Philippines,Murder
Pervez Khan,Male,Waqt TV,"December 6, 2010",Pakistan,Dangerous Assignment
Peter R. de Vries,Male,,"July 15, 2021",Netherlands,
Pétion Rospide,Male,Radio Sans Fin,"June 10, 2019",Haiti,
Phamon Phonphanit,Male,Sue Samut Atyakam,"September 24, 2011",Thailand,Dangerous Assignment
Philip Agustin,Male,Starline Times Recorder,"May 10, 2005",Philippines,Murder
Philip True,Male,San Antonio Express-News,"December 15, 1998",Mexico,Murder
Philippe Honoré,Male,Freelance,"January 7, 2015",France,Murder
Pierre Anceaux,Male,freelance,"August 31, 1994",Somalia,Murder
Pierre Billaud,Male,Radio Télévision Luxembourg,"November 11, 2001",Afghanistan,Crossfire
Pierre Kabeya,Male,Kin-Matin,"June 8, 1994",Democratic Republic of the Congo,Murder
Pierre Zakrzewski,Male,Fox News,"March 14, 2022",Ukraine,Crossfire
Pirimkul Sattori,Male,Khatlon,"May 28, 1993",Tajikistan,Murder
Pradeep Bhatia,Male,The Hindustan Times,"August 10, 2000",India,Dangerous Assignment
Prahlad Goala,Male,Asomiya Khabar,"January 6, 2006",India,Murder
Prakash Singh Thakuri,Male,Freelance,July 2007,Nepal,Murder
Precious Owolabi,Male,Channels TV,"July 22, 2019",Nigeria,Dangerous Assignment
Pu Tuidim,Male,Khonumthung Media Group,"January 8, 2022",Myanmar,Murder
Puniyamoorthy Sathiyamoorthy,Male,freelance,"February 12, 2009",Sri Lanka,Dangerous Assignment
Qais al-Jazar (Qais al-Qadhi),Male,Al-Jisr TV,"October 29, 2017",Syria,Crossfire
Raad Mutashar,Male,Al-Raad,"May 9, 2007",Iraq,Murder
Raad Yassin Al-Baddi,Male,Salaheddin TV,"December 23, 2013",Iraq,Murder
Rabah Zenati,Male,Algerian State Television,"August 3, 1993",Algeria,Murder
Rabih Al Maamari,Male,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment
Raed Fares,Male,Radio Fresh,"November 23, 2018",Syria,Murder
Rafael Emiro Moreno Garavito,Male,Voces De Córdoba,"October 16, 2022",Colombia,Murder
Rafael Enrique Prins Velásquez,Male,Apocalipsis,"February 19, 2005",Colombia,Murder
